article,sentence,label
GOSemSim an R package for measuring.txt,"GOSemSim is an R package for semantic similarity computation among GO terms, sets of GO terms, gene products and gene clusters",1
GOSemSim an R package for measuring.txt,"To facilitate large-scale analysis, two freely available software packages, GOGraph () and GOSim () implementing classic IC-based methods for semantic comparison of GO terms have also been developed",1
GOSemSim an R package for measuring.txt,"Here, we present an R package named GOSemSim to compute semantic similarity among GO terms, sets of GO terms, gene products and gene clusters, providing both IC-and graph-based methods.",1
Gossamer a resourceefficient de novo assembler.txt,"There are numerous software packages that allow users to assemble short reads, but most are either limited to relatively small genomes (e.g",1
GOSSIP a method for fast and.txt,"Availability: A server, as well as an executable for download, are available at",1
GOssTo a standalone application and a.txt,"We present GOssTo, the Gene Ontology semantic similarity Tool, a user-friendly software system for calculating semantic similarities between gene products according to the Gene Ontology",1
GOssTo a standalone application and a.txt,"Contact: alberto@cs.rhul.ac.uk Availability: GOssTo is available both as a stand-alone application running on GNU/Linux, Windows and MacOS from www.paccanaro-lab.org/gossto and as a web application from www.paccanarolab.org/ gosstoweb",1
GOssTo a standalone application and a.txt,"Few software tools have been proposed for calculating semantic similarities, including ProteinOn () IT-GOM () and G-SESAME ()",1
GOssTo a standalone application and a.txt,"Moreover, tools provided as stand-alone applications are not readily extendable with new semantic similarity measures, or are available only as packages running within environments such as R or MATLAB",1
Gowinda unbiased analysis of gene set.txt,"Availability and implementation: Gowinda is implemented in Java (v1.6) and freely available on",1
GPCR ontology development and application of.txt,Motivation: Novel tools need to be developed to help scientists analyze large amounts of available screening data with the goal to identify entry points for the development of novel chemical probes and drugs,1
GPCROKB the G Protein Coupled Receptor.txt,"Availability and Implementation: The GPCR-OKB web application is freely available at http://rloom.mpimp-golm.mpg.de",1
GPU accelerated biochemical network simulation.txt,"Despite their computational advantages, their adoption by the systems biology community is relatively slow, since differences in hardware architecture between GPUs and CPUs complicate the porting of existing code",1
GPU accelerated biochemical network simulation.txt,"Results: We present a Python package, cuda-sim, that provides highly parallelized algorithms for the repeated simulation of biochemical network models on NVIDIA CUDA GPUs",1
GPU accelerated biochemical network simulation.txt,"Algorithms are implemented for the three popular types of model formalisms: the LSODA algorithm for ODE integration, the Euler–Maruyama algorithm for SDE simulation and the Gillespie algorithm for MJP simulation",1
GPU accelerated biochemical network simulation.txt,"Even though platforms for general purpose GPU computing like CUDA  (Compute Unified Device Architecture) from NVIDIA  which provides a CUDA API exist, it remains difficult and time consuming to port existing algorithms that were designed for execution on CPUs",1
GPU accelerated biochemical network simulation.txt,There have been developments in porting biochemical network simulators to GPUs (reviewed in) but there does not currently exist a general purpose simulation tool that integrates multiple algorithms within the same interface,1
GPU accelerated biochemical network simulation.txt,"Here, we present a new Python package called cuda-sim which provides highly parallelized algorithms for large scale simulations of biochemical network models",1
GPU accelerated biochemical network simulation.txt,"Absolutely no knowledge of CUDA and GPU computing is needed for the user to access the simulation algorithms: (1) The integration of ODEs is carried out using a GPU implementation of LSODA (, (2) SDE simulations are provided via the Euler-Maruyama algorithm () and (3) simulations from a MJP (or Master equation) are performed using the Gillespie algorithm ()",1
GPU accelerated biochemical network simulation.txt,All functionality can be accessed via a Python interface that hides the implementation details.,1
GPU linear and nonlinear PoissonBoltzmann solver.txt,"The resulting code was interfaced with the electrostatics software for biomolecules DelPhi, which is widely used in the computational biology community",1
GPU linear and nonlinear PoissonBoltzmann solver.txt,"Availability and implementation: The module is open-source and available at",1
GPU linear and nonlinear PoissonBoltzmann solver.txt,"Given the continuously increasing size of structural data for proteins and other macromolecules and the need to deal with bigger and more complex structures, the availability of tested and reliable algorithms on the most recent and affordable computational architectures, such as Graphical Processing Units (GPUs), is highly desirable",1
GPUBLAST using graphics processors to accelerate.txt,Motivation: The Basic Local Alignment Search Tool (BLAST) is one of the most widely used bioinformatics tools,1
GPUBLAST using graphics processors to accelerate.txt,"The implementation is based on the source code of NCBI-BLAST, thus maintaining the same input and output interface while producing identical results",1
GPUBLAST using graphics processors to accelerate.txt,"Availability: The source code of GPU-BLAST is freely available at",1
GPUBLAST using graphics processors to accelerate.txt,"In addition, the paper that describes the gapped version of the algorithm and a technique to speed up the earlier version by a factor of three () has been cited more than 25 000 times",1
GPUBLAST using graphics processors to accelerate.txt,The National Center for Biotechnology Information (NCBI) has developed a version of BLAST that exploits multicore processors for the first phase of the algorithm (),1
GPUBLAST using graphics processors to accelerate.txt,"However, algorithms that perform well on a CPU may not perform as well on a GPU (c.f.)",1
GPUBLAST using graphics processors to accelerate.txt,Algorithm developers must develop new algorithms in order to harvest the GPU's massive parallel nature,1
GPUBLAST using graphics processors to accelerate.txt,"In Section 3, we describe the most important architectural features related to GPUBLAST, and in Section 4 we present the implementation of the algorithm on the GPU",1
GPUBLAST using graphics processors to accelerate.txt,The presence vector is not necessary for the implementation of the algorithm since the query index table stores the word locations,1
GPUBLAST using graphics processors to accelerate.txt,"While this observation makes parallelization of this algorithm appear an obvious task, the challenge here is to develop a mechanism capable of distributing comparisons to different processors so that processors are fully utilized and complete their assigned tasks at the same time",1
GPUBLAST using graphics processors to accelerate.txt,The current version of GPU-BLAST works only for protein alignments and can utilize more than one CPU threads in parallel with the GPU by using the NCBIBLAST option '-num_threads Integer=1',1
GPUBLAST using graphics processors to accelerate.txt,"The execution of GPU-BLAST consists of three basic components: (i) initialization of the GPU and data transfer from the CPU to the GPU, (ii) concurrent GPU-CPU algorithm execution and (iii) transfer of results from the GPU to the CPU",1
GPUBLAST using graphics processors to accelerate.txt,"After both platforms finish, the high scoring pairs are transferred from the GPU to the CPU, and the CPU merges them with its own high scoring pairs",1
GPUBLAST using graphics processors to accelerate.txt,The GPU was combined with a six-core Intel Xeon host CPU at 2.67 GHz with 12 GB of memory,1
GPUBLAST using graphics processors to accelerate.txt,"For the six-threaded GPU-BLAST, the total speedup is smaller and the difference between the ungapped and gapped version diminished because the CPU can handle a bigger workload leaving a smaller margin to the GPU to speedup the total running time",1
GPUBLAST using graphics processors to accelerate.txt,"Moreover, our implementation is capable of using the GPU along with multiple CPU cores concurrently",1
GPUMetaStorms computing the structure similarities among.txt,Availability and implementation: GPU-Meta-Storms is implemented by CUDA (Compute Unified Device Architecture) and Cþþ,1
GrammR graphical representation and modeling of.txt,"While twodimensional models are easier to present on paper and thus popular, we would like to emphasize the benefit of higher dimensional representations, and that our method and accompanying software provide an interactive visualization tool for examining results for dimensions up to four",1
Grape RNASeq analysis pipeline environment.txt,"Motivation: The avalanche of data arriving since the development of NGS technologies have prompted the need for developing fast, accurate and easily automated bioinformatic tools capable of dealing with massive datasets",1
Grape RNASeq analysis pipeline environment.txt,"It is distributed with specific mapping and quantification tools, but given its modular design, any tool supporting popular data interchange formats can be integrated",1
Grape RNASeq analysis pipeline environment.txt,"This has spawned a new generation of aligners optimized for aligning short sequences to the genome, for example, Bowtie (), BWA (), BFAST () and GEM (), which are much faster than previous tools such as Basic Local Alignment Search Tool, FASTA or SSEARCH (see, for a short review)",1
Grape RNASeq analysis pipeline environment.txt,"The Grape implementation conserves a copy of the exact software and configuration used for a given set of analyses, guaranteeing forward reproducibility.",1
Graph accordance of nextgeneration sequence assemblies.txt,We describe an algorithm to take advantages of different assembly algorithms or sequencing platforms to improve the quality of next-generation sequence (NGS) assemblies,1
Graph accordance of nextgeneration sequence assemblies.txt,"Availability: GAA is implemented in OO perl and is available here: http://sourceforge.net/projects/gaa-wugi/.",1
Graph accordance of nextgeneration sequence assemblies.txt,"Therefore, a combination of assemblies from different sequencing platforms or algorithms (or parameter settings for the same algorithm) is very promising to improve assembly qualities",1
Graph accordance of nextgeneration sequence assemblies.txt,A post-assembly that will blend the strengths of different assembly algorithms or sequencing platforms is one option we have pursued here,1
graph2tab a library to convert experimental.txt,"Availability and Implementation: The library source code and documentation are available at http://github.com/ISA-tools/ graph2tab.",1
graph2tab a library to convert experimental.txt,A software developer can leverage on it to build tools like data exporters or data format converters,1
Graphbased peak alignment algorithms for multiple.txt,"Many feature-based alignment algorithms have been developed, either implemented as stand-alone tools or as a part of software platforms for label-free quantitative proteomics",1
Graphical model for joint segmentation and.txt,"Availability and implementation: Source code and the 3Dþt Drosophila dataset along with our manual annotations will be freely available on http://hci.iwr.uni-heidelberg.de/MIP/Research/ tracking/",1
Graphical pangenome analysis with compressed suffix.txt,"Since the applicability of their algorithm is limited to rather small datasets, there is a strong need for space-efficient construction algorithms",1
Graphical pangenome analysis with compressed suffix.txt,"The second algorithm uses the Burrows–Wheeler transform to build the compressed de Bruijn graph in Oðn log rÞ time, where r is the size of the alphabet",1
Graphical pangenome analysis with compressed suffix.txt,"Although the BWT-based algorithm is the clear winner of the comparison, CSTbased algorithms are still important",1
Graphical pangenome analysis with compressed suffix.txt,"On the downside, extra features such as suffix skips are not implemented in those libraries so that a direct implementation of a suffix tree algorithm by means of a CST might not be possible",1
Graphics processing unit implementations of relative.txt,"Implementation of these algorithms for the graphics processing unit results in dramatic speedup of two orders of magnitude, greatly increasing the searchable combinations and accelerating the pace of discovery.",1
Graphics processing unit implementations of relative.txt,Algorithms well suited for such parallelism can run tens to hundreds of times faster on GPUs than a corresponding CPU implementation,1
Graphics processing unit implementations of relative.txt,"As the TST algorithm is particularly computationally demanding, this GPU implementation enables the first comprehensive search of all possible TSTs for classification.",1
Graphletbased edge clustering reveals pathogeninteracting proteins.txt,"Availability: Software executables are freely available upon request.",1
Graphletbased measures are suitable for biological.txt,"As these PPI networks are large and complex, it is necessary to develop efficient and biologically meaningful algorithms for their analysis",1
Graphregularized dual Lasso for robust eQTL.txt,"Availability: Software for both C++ version and Matlab version is available at",1
GRASS a generic algorithm for scaffolding.txt,"Availability: GRASS source code is freely available from https://github.com/ymatts/D3Ml.",1
GRASS a generic algorithm for scaffolding.txt,"We implemented the algorithm in C++ and tested it on de novo assemblies of paired read data for the bacteria Eschrichia coli, Pseudoxanthomonas suwonensis, and Pseudomonas syringae and compared it with the SSPACE, OPERA and MIP scaffolders",1
Greater power and computational efficiency for.txt,"Availability: Software available at",1
GREGOR evaluating global enrichment of traitassociated.txt,Here we present a statistically rigorous software tool GREGOR (Genomic Regulatory Elements and Gwas Overlap algoRithm) for evaluating enrichment of any set of genetic variants with any set of regulatory features,1
GREGOR evaluating global enrichment of traitassociated.txt,"Availability and implementation: GREGOR, including source code, documentation, examples, and executables, is available at",1
Grid computing for improving conformational sampling.txt,"The software package Ambiguous Restraints for Iterative Assignment (ARIA) allows for straightforward parallelization of the calculation, as the conformers can be generated in parallel on many nodes",1
Grid computing for improving conformational sampling.txt,Availability: The version 2.3.,1
GRiP a computational tool to simulate.txt,"GRiP represents a new and efficient implementation of the TF search process, which considers a highly detailed model of 1D diffusion and, at the same time, it simulates at least 4 times faster than previous software ()",1
GRiP a computational tool to simulate.txt,"The software is implemented in Java 1.6, which ensures high portability.In the simulator, each TF molecule is represented as an agent able to perform certain actions, whereas the DNA molecule is modelled as a string of base pairs (A, T, C, G)",1
GRiP a computational tool to simulate.txt,To simulate the 3D diffusion we use the Direct Method implementation of Gillespie Algorithm () which generates a statistically correct trajectory of the Master Equation,1
GRiP a computational tool to simulate.txt,"Furthermore, being written in Java, the software can be run on any machine where the Java Runtime Environment 1.6 (or higher) is installed",1
GRN2SBML automated encoding and annotation of.txt,"Therefore, GRN2SBML has a modular architecture that supports the implementation of parsers for both new and currently unsupported algorithms without the need to change core functions of the program.",1
GRN2SBML automated encoding and annotation of.txt,"CONCLUSIONA key achievement of this project is the development of GRN2SBML, a tool that provides a framework for the automated encoding of GRN-models in SBML in compliance with the specifications of the standard",1
GROMACS 45 a highthroughput and highly.txt,"Results: Here, we present a range of new simulation algorithms and features developed during the past 4 years, leading up to the GROMACS 4.5 software package",1
GROMACS 45 a highthroughput and highly.txt,"GROMACS supports several implicit solvent models, as well as new free-energy algorithms, and the software now uses multithreading for efficient parallelization even on low-end systems, including windows-based workstations",1
GROMACS 45 a highthroughput and highly.txt,"Availability: GROMACS is an open source and free software available from http://www.gromacs.org.",1
GROMACS 45 a highthroughput and highly.txt,"The emergence of standardized packages for molecular modeling, such as CHARMM (), GROMOS (), Amber (), NAMD () and GROMACS (), has been important, as these have helped commoditize simulation and molecular modeling research and made the techniques available to life science application researchers, who are not specialists in simulation development",1
GROMACS 45 a highthroughput and highly.txt,"All these packages have complementary strengths and profiles; for the GROMACS molecular simulation toolkit, one of our primary long-term development goals has been to achieve the highest possible simulation efficiency for the small-to mediumsize clusters that were present in our own research laboratories",1
GROMACS 45 a highthroughput and highly.txt,"Here, we present the work and features that have gone into GROMACS 4.5, including development to make the code fully portable and multithreaded on a wide range of platforms, features to facilitate high-throughput simulation and not least more efficient tools to help automate complex simulations, such as free-energy calculations, with another long-term goal of commoditizing affinity prediction as well",1
GROMACS molecule liquid database.txt,"Motivation: The molecular dynamics simulation package GROMACS is a widely used tool used in a broad range of different applications within physics, chemistry and biology",1
Group and sparse group partial least.txt,"Availability and implementation: The approach is implemented in a comprehensive R package called sgPLS available on the CRAN.",1
Group and sparse group partial least.txt,"Based on generalized least square matrix decomposition, Allen et al.(2014) develop fast computational algorithms for generalized principal component analysis (PCA) and sparse PCA",1
GSALightning ultrafast permutationbased gene set analysis.txt,Availability and implementation: The GSA-Lightning R package is available on Github at https:// github.com/billyhw/GSALightning and on R Bioconductor,1
GSalign for glycan structure alignment and.txt,"However, most computational tools are designed for protein structure, and despite their importance, there is no currently available tool for comparing glycan structures in a sequence order-and size-independent manner",1
GSalign for glycan structure alignment and.txt,"Availability and implementation: http://www.glycanstructure.org/gsalign.",1
GSATools analysis of allosteric communication and.txt,Motivation: GSATools is a free software package to analyze conform-ational ensembles and to detect functional motions in proteins by means of a structural alphabet,1
GSATools analysis of allosteric communication and.txt,The software integrates with the widely used GROMACS simulation package and can generate a range of graphical outputs,1
GSATools analysis of allosteric communication and.txt,"Availability: The C source code of the GSATools, along with a set of pre-compiled binaries, is freely available under GNU General Public License from",1
GSATools analysis of allosteric communication and.txt,"GSATools is a software package designed for the investigation of the conformational dynamics of local structures, the functional correlations between local and global motions and the mechanisms of allosteric communication.",1
GSDS 20 an upgraded gene feature.txt,"Availability and implementation: Web server and source code are freely available at http://gsds.",1
gSearch a fast and flexible general.txt,We developed efficient algorithms for searching variants against a large dataset and implemented multi-threaded versions of them using the C language,1
GSP a webbased platform for designing.txt,"Availability and implementation: GSP is a user-friendly and efficient web platform freely accessible at",1
GSQZ compact encoding of genomic sequence.txt,"This article focuses on describing the underlying encoding scheme and its software implementation, and a more theoretical problem of optimal compression is out of scope",1
GSQZ compact encoding of genomic sequence.txt,"Algorithms and software are required to analyze terabytes of data within practical constraints of resources, such as computer processors, memory, storage, time, etc., and have to cope with the new challenge of handling very large files containing dense data",1
GSQZ compact encoding of genomic sequence.txt,"To that end, this article proposes a lossless, order preserving and compact-encoding scheme called Genomic SQueeZ (G-SQZ) for sequence read data and provides a software implementation",1
GTScan identifying unique genomic targets.txt,"Availability and implementation: GT-Scan can be run via the web at: http://gt-scan.",1
GUILDify a web server for phenotypic.txt,"Availability and implementation: Available online at",1
GUILDify a web server for phenotypic.txt,"Furthermore, some of these tools are accessible only through Cytoscape () as a plugin ()",1
GUILDify a web server for phenotypic.txt,"Considering the limited availability of convenient interfaces that bridge network-based prioritization algorithms, we present GUILDify, an interactomebased prioritization server for phenotype-based characterization",1
Gustaf Detecting and correctly classifying SVs.txt,"Availability and implementation: Project information, paper benchmark and source code are available via http://www.seqan.de/projects/ gustaf/.",1
Gustaf Detecting and correctly classifying SVs.txt,"Our tool Gustaf (Generic mUlti-SpliT Alignment Finder) allows for multiple splits at arbitrary locations in the read, is independent of read length and sequencing platform and supports both single-end and paired-end reads",1
GWASTools an RBioconductor package for quality.txt,GWASTools is an R/Bioconductor package for quality control and analysis of genome-wide association studies (GWAS),1
GWASTools an RBioconductor package for quality.txt,"We present GWASTools, an R/Bioconductor package to facilitate QC/QA of large single nucleotide polymorphism (SNP) datasets",1
GWASTools an RBioconductor package for quality.txt,"Existing R packages for GWAS, such as snpStats (), store genotype matrices in memory and do not include intensity data",1
GWAtoolbox an R package for fast.txt,"The GWAtoolbox is an R package that standardizes and accelerates the handling of data from genome-wide association studies (GWAS), particularly in the context of large-scale GWAS meta-analyses",1
GWAtoolbox an R package for fast.txt,"Here we introduce the GWAtoolbox, an R package that standardizes and accelerates the handling and QC of post-GWAS data",1
H3M2 detection of runs of homozygosity.txt,"Availability and implementation: H 3 M 2 is a collection of bash, R and Fortran scripts and codes and is freely available at https://sourceforge",1
h5vc scalable nucleotide tallies with HDF5.txt,Availability and implementation: The package h5vc for the statistical environment R is available through the Bioconductor project,1
h5vc scalable nucleotide tallies with HDF5.txt,"HDF5 is designed to store large arrays of numerical data efficiently, scales well with the size of the datasets, supports compression and is available on many platforms in the form of libraries for different programming languages including C/Cþþ, Java, Python, Matlab and R",1
h5vc scalable nucleotide tallies with HDF5.txt,"Our implementation relies on the rhdf5 Bioconductor package (Fischer and Pau, 2012) for low-level access functions to HDF5 files",1
h5vc scalable nucleotide tallies with HDF5.txt,A concrete implementation of the tools necessary to make use of this data format is provided by the package h5vc,1
HAL a hierarchical format for storing.txt,"Availability: All documentation and source code for the HAL API and tools are freely available at http://github.com/glennhickey/hal.Contact:",1
HAlign Fast multiple similar DNARNA sequence.txt,"Most of the available state-of-the-art software tools cannot address large-scale datasets, or they run rather slowly",1
HAlign Fast multiple similar DNARNA sequence.txt,Results: We developed two software tools to address the DNA MSA problem,1
HAlign Fast multiple similar DNARNA sequence.txt,"Availability and implementation: The codes, tools and data are accessible free of charge at",1
HAlign Fast multiple similar DNARNA sequence.txt,Most of the available phylogenetic tree construction software tools require previously aligned sequences as input,1
HAlign Fast multiple similar DNARNA sequence.txt,The available state-of-the-art MSA software tools address DNA and protein sequences equivalently andignore the high similarity of DNA sequences,1
HAlign Fast multiple similar DNARNA sequence.txt,Several MSA software tools have been developed,1
HAlign Fast multiple similar DNARNA sequence.txt,It is a multiplatform program that works on both Windows and Linux systems and can address both protein and DNA sequences,1
HAlign Fast multiple similar DNARNA sequence.txt,"However, few parallel software tools have been designed for MSA",1
HAlign Fast multiple similar DNARNA sequence.txt,"Therefore, we developed a parallel MSA software tool based on the hadoop platform for scalable DNA/RNA sequences.",1
HAlign Fast multiple similar DNARNA sequence.txt,"From the experiments, we can conclude that HAlign outperforms the available state-of-the-art MSA software tools regarding its ability to handle large-scale DNA/RNA datasets, and it is suited for massive highly similar DNA sequences",1
HAlign Fast multiple similar DNARNA sequence.txt,It also runs faster for sequences of low similarity because it is a software tool that runs in parallel,1
HAlign Fast multiple similar DNARNA sequence.txt,"Both the single thread and the parallel tools are coded with Java, which works on multiple operation systems",1
HAlign Fast multiple similar DNARNA sequence.txt,We have constructed a web site http://datamining.xmu.edu.cn/ software/halign/ for sharing the software tools and codes.,1
HALOa Java framework for precise transcript.txt,"HALO provides a graphical user interface, command-line tools and a well-documented Java application programming interface (API)",1
HALOa Java framework for precise transcript.txt,"Availability: Source code, executables and documentation are available at http://mpyatkov.github.com/sbarsl.",1
Halvade scalable sequence analysis with MapReduce.txt,Availability and implementation: Halvade is written in Java and uses the Hadoop MapReduce 2.0 API,1
HAMMER automated operation of mass frontier.txt,"Here, we present a freely available software package to automatically control Mass Frontier software to construct in silico mass spectral libraries and to perform spectral matching",1
HAMMER automated operation of mass frontier.txt,"Availability and implementation: Documentation, examples, results and source code are available at https://cbcl.ics.uci.edu/public_data/DAN",1
HAMMER automated operation of mass frontier.txt,Commercial software packages such as Mass Frontier and ACD/MS Fragmenter predict in silico fragmentation patterns to assist the interpretation of experimental MS n data (),1
HAMMER automated operation of mass frontier.txt,"Mass Frontier is a well-known software package that has been used by more than a thousand academic institutions and companies throughout the world for the management, evaluation and interpretation of mass spectra",1
HAMMER automated operation of mass frontier.txt,"Here, we present a freely available software package, named HAMMER (High-throughput AutoMation of Mass frontiER), to automatically control Mass Frontier software to perform in silico fragmentation in an automated and high-throughput matter",1
Hammock a hidden Markov modelbased peptide.txt,Results: The software tool presented in this article is able to rapidly identify multiple clusters of sequences carrying shared specificity motifs in massive datasets from various sources and generate multiple sequence alignments of identified clusters,1
Hammock a hidden Markov modelbased peptide.txt,Availability and implementation: Hammock is published under GNU GPL v,1
Hammock a hidden Markov modelbased peptide.txt,3 license and is freely available as a standalone program (from http://www.recamo.cz/en/software/hammock-cluster-pep tides/) or as a tool for the Galaxy toolbox (from https://toolshed.g2.bx.psu.edu/view/hammock/ham mock),1
Hammock a hidden Markov modelbased peptide.txt,Significant effort has already been put into the development of software methods for peptide data processing,1
Hammock a hidden Markov modelbased peptide.txt,"In this article, we address this issue by introducing Hammock, a novel software tool for peptide sequence clustering",1
Hammock a hidden Markov modelbased peptide.txt,DiscussionWe presented Hammocka software tool for short peptide sequence clustering,1
Hammock a hidden Markov modelbased peptide.txt,"Galaxy provides a GUI, server functionalities and also an online storage called the Galaxy tool shed (), which allows any Galaxy server administrator or local instance user to install Hammock with all its dependencies just by virtually one click",1
Hammock a hidden Markov modelbased peptide.txt,The user-friendly Galaxy implementation gives the possibility to use this tool to a broad spectrum of potential users.Hammock: peptide clustering,1
HandAlign Bayesian multiple sequence alignment phylogeny.txt,"We describe handalign, a software package for Bayesian reconstruction of phylogenetic history",1
HandAlign Bayesian multiple sequence alignment phylogeny.txt,Availability and Implementation: Installation and usage instructions are at http://biowiki.org/HandAlign,1
HangOut generating clean PSIBLAST profiles for.txt,Availability: HangOut is implemented in Python 2.3 and runs on all Unix-compatible platforms,1
HapFlow visualizing haplotypes in sequencing data.txt,"Availability and implementation: HapFlow is freely available (under a GPL license) for download (for Mac OS X, Unix and Microsoft Windows) from github",1
Haplotype assembly in polyploid genomes and.txt,"The first widely available haplotype assembly software package was presented inin which the authors describe the Fast Hare algorithm, which optimizes the 'Min Element Removal' problem., which permits non-commercial re-use, distribution, and reproduction in any medium, provided the original work is properly cited",1
Haplotype assembly in polyploid genomes and.txt,The algorithm operates on the spanning-tree cycle basis of G C to iteratively remove errors that are manifested through a particular type of simple cycle; Mac,1
Haplotype synthesis analysis reveals functional variants.txt,"Availability and implementation: All methods are implemented in the C/C þþ toolkit GetSynth, available at http://sourceforge.net/projects/getsynth/.",1
HapMuC somatic mutation calling using heterozygous.txt,"Availability and implementation: The HapMuC source code is available from",1
Harmonization of geneprotein annotations towards a.txt,"Availability and implementation: Totum is implemented in Java and its resources are available at http://bioinformatics.ua.pt/totumContact:",1
Harnessing virtual machines to simplify nextgeneration.txt,"The resulting flood of data has led to the rapid development of large numbers of bioinformatic tools for data analysis, creating a challenging situation for researchers when choosing and configuring a variety of software for their analysis, and for other researchers trying to replicate their analysis",1
HCSAnalyzer open source software for highcontent.txt,"Availability: The application, the C# .Net source code, as well as detailed documentation, are freely available at the following URL:",1
HCSAnalyzer open source software for highcontent.txt,"This method can be used to further develop high-level plugins, taking advantage of statistical and mathematical toolboxes which can be shared within the community.",1
HCSAnalyzer open source software for highcontent.txt,"The full C# source code is available as well as a plugin sample (Supplementary), allowing the user to adapt or to extend the currently provided version of the application",1
HCSAnalyzer open source software for highcontent.txt,Further development of the application is expected to adapt the software to evolving community requirements.,1
HDCNV hotspot detector for copy number.txt,"Availability and implementation: HD-CNV is an open source Java code and is freely available, with tutorials and sample data from http://daleylab.org.",1
HDTD analyzing multitissue gene expression data.txt,"Herein, we present a suite of tools embedded within the R/Bioconductor package HDTD for robustly estimating and performing hypothesis tests about the mean relationship and the covariance structure within the rows and columns",1
HDTD analyzing multitissue gene expression data.txt,Availability and Implementation: The R package HDTD is part of Bioconductor,1
HDTD analyzing multitissue gene expression data.txt,"The source code and a comprehensive users guide are available at http://bioconductor.org/packages/release/bioc/html/HDTD.html.",1
HDTD analyzing multitissue gene expression data.txt,"To analyze robustly such datasets, we developed the R package HDTD (High-Dimensional Transposable Data)",1
HEALER homomorphic computation of ExAct Logistic.txt,"Availability and implementation: Download HEALER at http://research.ucsd-dbmi.org/HEALER/",1
HEFT eQTL analysis of many thousands.txt,"Availability: Software is available at",1
HHalignKbest exploring suboptimal alignments for remote.txt,"Availability and implementation: http://bioserv.rpbs.univ-paris-diderot.fr/services/HHalign-Kbest/ (source code and server).",1
HHalignKbest exploring suboptimal alignments for remote.txt,"This task becomes particularly tedious when target-template sequence identities are low and hampers the development of fully automated pipelines able to generate accurate structural models.In this work, we present a tool integrating suboptimal technique within the Viterbi algorithm of HHsearch program to generate suboptimal alignments",1
HHfrag HMMbased fragment detection using HHpred.txt,Availability: A web server for running HHfrag is available at http:// toolkit.tuebingen.mpg.de/hhfrag,1
HHfrag HMMbased fragment detection using HHpred.txt,"The source code is available at http://cran.r-project.org/web/packages/GMD/",1
HiBrowse multipurpose statistical analysis of genomewide.txt,"Availability and implementation: HiBrowse is supported by all major browsers, and is freely available at http://hyperbrowser.uio.no/3d",1
HiBrowse multipurpose statistical analysis of genomewide.txt,"Software is implemented in Python, and source code is available for download by following instructions on the main site.",1
HiBrowse multipurpose statistical analysis of genomewide.txt,"Two useful command-line tools are the hiclib-package (), and the HOMER software suit (), which both allow for noise-removal, outlier detection and compartment identification",1
HiCNorm removing biases in HiC data.txt,Our R package provides a choice for the user to use either the NB or the Poisson regression models,1
HiCorrector a fast scalable and memoryefficient.txt,"We developed Hi-Corrector, an easy-to-use, open source implementation of the Hi-C data normalization algorithm",1
HiCorrector a fast scalable and memoryefficient.txt,"Its salient features are (i) scalability—the software is capable of normalizing Hi-C data of any size in reasonable times; (ii) memory efficiency—the sequential version can run on any single computer with very limited memory, no matter how little; (iii) fast speed—the parallel version can run very fast on multiple computing nodes with limited local memory",1
HiCorrector a fast scalable and memoryefficient.txt,Availability and implementation: The sequential version is implemented in ANSI C and can be easily compiled on any system; the parallel version is implemented in ANSI C with the MPI library (a standardized and portable parallel environment designed for solving large-scale scientific problems),1
Hidden conformations in protein structures.txt,These advantages motivate the development of algorithms aimed at predicting intramolecular residueresidue interactions,1
Hierarchical block matrices as efficient representations.txt,"Availability and implementation: The presented algorithms are available from: https://github.com/",1
Hierarchical block matrices as efficient representations.txt,"The increasing volume of HiT-3C data calls for the development of algorithms and data structures that can summarize, compress and integrate datasets while considering issues of time and space complexity",1
Hierarchical boosting a machinelearning framework to.txt,"Availability and implementation: The genome-wide results for three human populations from The 1000 Genomes Project and an R-package implementing the Hierarchical Boosting framework are available at",1
Highaccuracy prediction of bacterial type III.txt,"Availability: An R package of BPBAac tool is freely downloadable from: http://biocomputer.bio.cuhk.edu.hk/softwares/BPBAac.",1
Higher classification sensitivity of short metagenomic.txt,"Here we introduce CLARK-S, a new software tool that can classify short reads with high precision, high sensitivity and high speed",1
Higher classification sensitivity of short metagenomic.txt,"Several methods and software tools are available, but faster and more accurate algorithms are needed to keep pace with the increasing throughput of modern sequencing instruments",1
Highly accurate sequencebased prediction of halfsphere.txt,"Availability and implementation: The method is available at http://sparks",1
Highorder neural networks and kernel methods.txt,"Availability and implementation: There is no associated distributable software.",1
Highquality annotation of promoter regions for.txt,"Availability: The binary executable for PromPredict algorithm (implemented in PERL and supported on Linux and MS Windows) and the predicted promoter data for all 913 microbial genomes are available at http://nucleix.mbu.iisc.ernet.in/prombase/.",1
Highquality sequence clustering guided by network.txt,"Availability and implementation: The Python software HiFiX is freely available at http://lbbe.univ",1
Highthroughput analysis of epistasis in genomewide.txt,"Availability and implementation: The software is free and can be downloaded from",1
Highthroughput analysis of epistasis in genomewide.txt,"Significant efforts have been made to develop new tools and algorithms for epistasis detection in GWAS () using either deterministic or stochastic methods, such as regression (), machine learning () and Bayesian-based approaches ()",1
Highthroughput analysis of epistasis in genomewide.txt,The implementation of the combined search algorithm (i.e,1
Highthroughput feature counting and measurement of.txt,"Availability: The software is open source and available from http:// sourceforge.net/projects/roottrace.",1
